genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Cratogeomys,perotensis,Cratogeomys|Craterogeomys|Platygeomys,Cratogeomys_perotensis,,Cofre de Perote Pocket Gopher,,,,,,,,,,,,
Cratogeomys,planiceps,Cratogeomys|Craterogeomys|Platygeomys,Platygeomys_planiceps,,Volcan de Toluca Pocket Gopher,,,,,,,,,,,,
Geomys,arenarius,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Geomys_arenarius|brevirostris,,Desert Pocket Gopher,Sand Pocket Gopher|Rio Grande Pocket Gopher|Tularosa Pocket Gopher,,,,,,,,,,,
Geomys,attwateri,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Geomys_breviceps_attwateri|ammophilus,,Attwater’s Pocket Gopher,Victoria Pocket Gopher,,,,,,,,,,,
Geomys,breviceps,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Geomys_breviceps|sagittalis|brazensis|dutcheri|ludemani|pratincolus|terricolus,,Baird’s Pocket Gopher,Louisiana Pocket Gopher|Mer Rouge Pocket Gopher,,,,,,,,,,,
Geomys,bursarius,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,bursarius|alba|fusca|saccatus|canadensis|illinoensis|majusculus|major|industrius|wisconsinensis|missouriensis|ozarkensis,,Plains Pocket Gopher,Mississippi Valley Pocket Gopher,,,,,,,,,,,
Geomys,jugossicularis,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,jugossicularis|halli,,Hall’s Pocket Gopher,Colorado Pocket Gopher,,,,,,,,,,,
Geomys,knoxjonesi,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,knoxjonesi,,Jones’s Pocket Gopher,Knox Jones’s Pocket Gopher,,,,,,,,,,,
Geomys,lutescens,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Geomys_bursarius_lutescens|hylaeus|levisagittalis|vinaceus,,Sand Hills Pocket Gopher,Pale Pocket Gopher,,,,,,,,,,,
Geomys,personatus,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Geomys_personatus|fallax|fuscus|maritimus|megapotamus|davisi,,Texas Pocket Gopher,Masked Pocket Gopher|South Texas Pocket Gopher|Del Rio Pocket Gopher|Nueces Pocket Gopher|Padre Island Pocket Gopher|Rio Grande Pocket Gopher|Seaside Pocket Gopher,,,,,,,,,,,
Geomys,pinetis,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,tuza|pinetis|floridanus|mobilensis|austrinus|colonus|cumberlandius|fontanelus|goffi,,South-eastern Pocket Gopher,Sandy Mounder|Colonial Pocket Gopher|Cumberland Island Pocket Gopher|Goff’s Pocket Gopher|Sherman’s Pocket Gopher,,,,,,,,,,,
Geomys,streckeri,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,streckeri,,Strecker’s Pocket Gopher,Carrizo Springs Pocket Gopher,,,,,,,,,,,
Geomys,texensis,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Geomys_texensis|llanensis|bakeri,,Llano Pocket Gopher,Central Texas Pocket Gopher,,,,,,,,,,,
Geomys,tropicalis,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,tropicalis,,Tropical Pocket Gopher,,,,,,,,,,,,
Heterogeomys,hispidus,Heterogeomys|Macrogeomys,Geomys_hispidus|torridus|chiapensis|concavus|isthmicus|yucatanensis|cayoensis|teapensis|tehuantepecus|negatus|latirostris|hondurensis,,Hispid Pocket Gopher,,,,,,,,,,,,
Heterogeomys,lanius,Heterogeomys|Macrogeomys,Heterogeomys_lanius,,Big Pocket Gopher,,,,,,,,,,,,
Orthogeomys,grandis,Orthogeomys,grandis|scalops|latifrons|nelsoni|cuniculus|pygacanthus|alleni|felipensis|guerrerensis|vulcani|annexus|pluto|huixtlae|soconuscensis|carbo|engelhardi|alvarezi,,Giant Pocket Gopher,Oaxacan Pocket Gopher,,,,,,,,,,,
Pappogeomys,bulleri,Pappogeomys,bulleri|albinasus|nelsoni|amecensis|burti|flammeus|lagunensis|nayaritensis|alcorni|infuscus|lutulentus|melanurus,,Buller’s Pocket Gopher,Alcorn’s Pocket Gopher,,,,,,,,,,,
Thomomys,atrovarius,Thomomys|Plesiothomomys|Tomomys|Megascapheus,atrovarius|extimus|musculus|parviceps,,Black-and-Brown Pocket Gopher,,,,,,,,,,,,
Thomomys,bottae,Thomomys|Plesiothomomys|Tomomys|Megascapheus,bottae|fulvus|laticeps|perpallidus|aureus|toltecus|altivallis|cervinus|nigricans|pallescens|alpinus|angularis|leucodon|operarius|anitae|martirensis|alticolus|baileyi|cabezonae|desertorum|latirostris|navus|pascalis|perditus|perpes|pervagus|sinaloae|lachuguilla|texensis|aphrastus|scapterus|awahnee|mewa|magdalenae|russeolus|apache|canus|albatus|chrysonotus|diaboli|infrapallidus|jacinteus|mearnsi|minor|neglectus|puertae|melanotis|mohavensis|amargosae|solitarius|abbotti|suboles|cactophilus|albicaudatus|aureiventris|centralis|absonus|argusensis|catalinae|catavinensis|collinus|dissimilis|flavidus|grahamensis|modicus|osgoodi|peramplus|planirostris|providentialis|pusillus|brevidens|cinereus|curtatus|depressus|fumosus|ingens|lacrymalis|lucidus|nanus|nasutus|oreoecus|ruidosae|tularosae|alexandrae|mutabilis|phasma|phelleoecus|subsimilis|chiricahuae|convergens|divergens|proximus|saxatilis|simulus|trumbullensis|vanrosseni|winthropi|abstrusus|acrirostratus|agricolaris|concisor|detumidus|extenuates|latus|opulentus|silvifugus|vescus|confinalis|connectens|depauperatus|desitus|guadalupensis|harquahalae|howelli|hualpaiensis|internatus|limitaris|muralis|nesophilus|optabilis|patulus|pectoralis|piutensis|riparius|aridicola|birdseyei|camoae|comobabiensis|growlerensis|tivius|virgineus|wahwahensis|alienus|analogus|hueyi|lucrificus|nicholi|parvulus|pervarius|pinalensis|spatiosus|sturgisi|aderrans|boregoensis|convexus|estanciae|imitabilis|incomptus|limpiae|minimus|occipitalis|basilicae|collis|litoris|lorenzi|morulus|paguatae|planorum|scotophilus|crassus|rupestris|lenis|levidensis|operosus|affinis|borjasensis|cunicularius|jojobae|juarezensis|proximarinus|sanctidiegi|siccovallis|xerophilus|bonnevillei|contractus|robustus|sevieri|stansburyi|homorus|rhizophagus|ruricola|actuosus|cultellus|boreorarius|angustidens|humilis|retractus|villai|cedrinus|powelli|rufidulus|rubidus|caneloensis|carri|brazierhowelli|varus|robertbakeri,,Botta’s Pocket Gopher,Valley Pocket Gopher,,,,,,,,,,,
Thomomys,bulbivorus,Thomomys|Plesiothomomys|Tomomys|Megascapheus,bulbivorus,,Camas Pocket Gopher,Camas Rat,,,,,,,,,,,
Thomomys,clusius,Thomomys|Plesiothomomys|Tomomys|Megascapheus,Thomomys_clusius,,Wyoming Pocket Gopher,,,,,,,,,,,,
Thomomys,idahoensis,Thomomys|Plesiothomomys|Tomomys|Megascapheus,pygmaeus|Thomomys_idahoensis|sonfinus,,Idaho Pocket Gopher,Bitterroot Valley Pocket Gopher|Hamilton Pocket Gopher|Pygmy Pocket Gopher,,,,,,,,,,,
Thomomys,mazama,Thomomys|Plesiothomomys|Tomomys|Megascapheus,nasicus|Thomomys_mazama|melanops|yelmensis|hesperus|niger|oregonus|helleri|premaxillaris|tacomensis|couchi|glacialis|pugetensis|tumuli|louiei,,Western Pocket Gopher,Mazama Pocket Gopher|Puget Sound Pocket Gopher|Tacoma Pocket Gopher,,,,,,,,,,,
Thomomys,monticola,Thomomys|Plesiothomomys|Tomomys|Megascapheus,Thomomys_monticolus|pinetorum,,Mountain Pocket Gopher,California Mountain Pocket Gopher|Sierra Nevada Pocket Gopher,,,,,,,,,,,
Thomomys,nayarensis,Thomomys|Plesiothomomys|Tomomys|Megascapheus,nayarensis,,Nayar Pocket Gopher,,,,,,,,,,,,
Thomomys,sheldoni,Thomomys|Plesiothomomys|Tomomys|Megascapheus,Thomomys_sheldoni|chihuahuae|crassidens,,Sierra Madre Occidental Pocket Gopher,Sheldon Pocket Gopher,,,,,,,,,,,
Thomomys,talpoides,Thomomys|Plesiothomomys|Tomomys|Megascapheus,talpoides|douglasii|borealis|rufescens|unisulcatus|fuscus|fossor|quadratus|bridgeri|fisheri|limosus|ocius|uinta|agrestis|bullatus|caryi|columbianus|loringi|nebulosus|pryori|saturatus|shawi|falcifer|macrotis|wallowa|monoensis|kaibabensis|levis|moorei|parowanensis|andersoni|devexus|gracilis|immunis|incensus|kelloggi|medius|oquirrhensis|relicinus|tenellus|trivialis|yakimensis|taylori|cheyennensis|pierreicolus|aequalidens|ravus|wasatchensis|durranti|attenuatus|meritus|retrorsus|rostralis|whitmani|cognatus|segregatus,,Northern Pocket Gopher,Vancouver Pocket Gopher,,,,,,,,,,,
Thomomys,townsendii,Thomomys|Plesiothomomys|Tomomys|Megascapheus,Geomys_townsendii|nevadensis|atrogriseus|relictus|bachmani|elkoensis|owyhensis,,Townsend’s Pocket Gopher,,,,,,,,,,,,
Thomomys,umbrinus,Thomomys|Plesiothomomys|Tomomys|Megascapheus,umbrinus|orizabae|peregrinus|intermedius|goldmani|nelsoni|burti|emotus|albigularis|atrodorsalis|caliginosus|durangi|enixus|evexus|madrensis|martinensis|potosinus|quercinus|sonoriensis|supernus|tolucae|vulcanius|zacatecae|pullus|arriagensis|newmani|camargensis|juntae,,Southern Pocket Gopher,Animas Mountains Pocket Gopher,,,,,,,,,,,
Zygogeomys,trichopus,Zygogeomys|Gygogeomys,Zygogeomys_trichopus|tarascensis,,Michoacan Pocket Gopher,,,,,,,,,,,,
Chaetodipus,ammophilus,Chaetodipus|Burtognathus,Perognathus_penicillatus_ammophilus|sublucidus|dalquesti,,Dalquest’s Pocket Mouse,,,,,,,,,,,,
Chaetodipus,arenarius,Chaetodipus|Burtognathus,arenarius|helleri|albulus|albescens|ambiguus|mexicalis|paralios|sabulosus|ramirezpulidoi,,Little Desert Pocket Mouse,Sand Pocket Mouse,,,,,,,,,,,
Chaetodipus,artus,Chaetodipus|Burtognathus,Perognathus_artus,,Narrow-skulled Pocket Mouse,,,,,,,,,,,,
Chaetodipus,baileyi,Chaetodipus|Burtognathus,Perognathus_baileyi|insularis|domensis,,Bailey’s Pocket Mouse,,,,,,,,,,,,
Chaetodipus,californicus,Chaetodipus|Burtognathus,armatus|Perognathus_californicus|femoralis|dispar|mesopolius|ochrus|bernardinus|bensoni|marinensis,,California Pocket Mouse,,,,,,,,,,,,
Chaetodipus,collis,Chaetodipus|Burtognathus,collis|popei|mapimiensis,,Highland Coarse-haired Pocket Mouse,,,,,,,,,,,,
Chaetodipus,durangae,Chaetodipus|Burtognathus,durangae,,Durango Coarse-haired Pocket Mouse,,,,,,,,,,,,
Chaetodipus,eremicus,Chaetodipus|Burtognathus,Perognathus_(Chaetodipus)_eremicus|atrodorsalis,,Chihuahuan Desert Pocket Mouse,Chihuahuan Pocket Mouse|Eastern Desert Pocket Mouse,,,,,,,,,,,
Chaetodipus,fallax,Chaetodipus|Burtognathus,Perognathus_fallax|anthonyi|pallidus|inopinus|majusculus|xerotrophicus,,San Diego Pocket Mouse,Short-eared Pocket Mouse|Anthony’s Pocket Mouse,,,,,,,,,,,
Chaetodipus,formosus,Chaetodipus|Burtognathus,Perognathus_formosus|mesembrinus|cinerascens|mohavensis|incolatus|melanurus|infolatus|domisaxensis|melanocaudus,,Long-tailed Pocket Mouse,,,,,,,,,,,,
Chaetodipus,goldmani,Chaetodipus|Burtognathus,Perognathus_goldmani,,Goldman’s Pocket Mouse,,,,,,,,,,,,
Chaetodipus,hispidus,Chaetodipus|Burtognathus,Perognathus_hispidus|paradoxus|spilotus|conditi|latirostris|zacatecae|maximus,,Hispid Pocket Mouse,,,,,,,,,,,,
Chaetodipus,intermedius,Chaetodipus|Burtognathus,obscurus|Perognathus_intermedius|phasma|ater|minimus|rupestris|nigrimontis|pinacate|crinitus|umbrosus|lithophilus|beardi,,Rock Pocket Mouse,Intermediate Pocket Mouse,,,,,,,,,,,
Chaetodipus,lineatus,Chaetodipus|Burtognathus,Perognathus_lineatus,,Lined Pocket Mouse,,,,,,,,,,,,
Chaetodipus,nelsoni,Chaetodipus|Burtognathus,canescens|Perognathus_(Chaetodipus)_nelsoni,,Nelson’s Course-haired Pocket Mouse,Nelson's Pocket Mouse,,,,,,,,,,,
Chaetodipus,penicillatus,Chaetodipus|Burtognathus,Perognathus_penecillatus|pricei|stephensi|angustirostris|goldmani|seri|seorsus|sobrinus,,Desert Pocket Mouse,Sonoran Desert Pocket Mouse,,,,,,,,,,,
Chaetodipus,pernix,Chaetodipus|Burtognathus,pernix|rostratus,,Sinaloan Pocket Mouse,,,,,,,,,,,,
Chaetodipus,rudinoris,Chaetodipus|Burtognathus,knekus|Perognathus_baileyi_rudinoris|extimus|hueyi|fornicatus|mesidios,,Peninsular Pocket Mouse,Baja California Pocket Mouse|Baja Pocket Mouse,,,,,,,,,,,
Chaetodipus,siccus,Chaetodipus|Burtognathus,Perognathus_penicillatus_siccus,,Cerralvo Island Pocket Mouse,,,,,,,,,,,,
Chaetodipus,spinatus,Chaetodipus|Burtognathus,Perognathus_spinatus|bryanti|margaritae|peninsulae|magdalenae|occultus|evermanni|lambi|prietae|rufescens|guardiae|latijugularis|macrosensis|pullus|seorsus|broccus|oribates|lorenzi,,Spiny Pocket Mouse,,,,,,,,,,,,
Dipodomys,agilis,Dipodomys|Dipodops|Macrocolus|Perodipus,agilis|wagneri|perplexus|fuscus,,Agile Kangaroo Rat,Nimble Kangaroo Rat|Pacific Kangaroo Rat,,,,,,,,,,,
Dipodomys,californicus,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_californicus|pallidulus|trinitatus|eximius|gabrielsoni|saxatilis,,California Kangaroo Rat,,,,,,,,,,,,
Dipodomys,compactus,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_compactus|sennetti|largus|parvabullatus,,Gulf Coast Kangaroo Rat,,,,,,,,,,,,
Dipodomys,deserti,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_deserti|helleri|sonoriensis|arizonae|aquilus,,Desert Kangaroo Rat,,,,,,,,,,,,
Dipodomys,elator,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_elator,,Texas Kangaroo Rat,Loring’s Kangaroo Rat,,,,,,,,,,,
Dipodomys,gravipes,Dipodomys|Dipodops|Macrocolus|Perodipus,gravipes,,San Quintin Kangaroo Rat,,,,,,,,,,,,
Dipodomys,heermanni,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_heermanni|streatori|goldmani|tularensis|morroensis|berkeleyensis|dixoni|jolonensis|swarthi|arenae,,Heermann’s Kangaroo Rat,Morro Bay Kangaroo Rat|Tulare Kangaroo Rat,,,,,,,,,,,
Dipodomys,ingens,Dipodomys|Dipodops|Macrocolus|Perodipus,Perodipus_ingens,,Giant Kangaroo Rat,,,,,,,,,,,,
Dipodomys,merriami,Dipodomys|Dipodops|Macrocolus|Perodipus,ambiguus|Dipodomys_merriami|melanurus|atronasus|nevadensis|nitratus|parvus|similis|simiolus|mitchelli|arenivagus|mortivallis|insularis|kernensis|margaritae|platycephalus|semipallidus|mayensis|olivaceus|vulcani|frenatus|regillus|annulus|brunensis|llanoensis|quintinensis|trinidadensis|collinus,,Merriam’s Kangaroo Rat,Margarita Island Kangaroo Rat|San Bernardino Kangaroo Rat|San José Island Kangaroo Rat,,,,,,,,,,,
Dipodomys,microps,Dipodomys|Dipodops|Macrocolus|Perodipus,levipes|Perodipus_microps|preblei|celsus|leucotis|aquilonius|alfredi|bonnevillei|centralis|idahoensis|occidentalis|russeolus|subtenuis,,Chisel-toothed Kangaroo Rat,Great Basin Kangaroo Rat|Houserock Chisel-toothed Kangaroo Rat|House Rock Valley Kangaroo Rat|Inyo Pocket Rat|Small-faced Kangaroo Rat,,,,,,,,,,,
Dipodomys,nelsoni,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_nelsoni|nelsoni,,Nelson’s Kangaroo Rat,,,,,,,,,,,,
Dipodomys,nitratoides,Dipodomys|Dipodops|Macrocolus|Perodipus,exilis|nitratoides|brevinasus,,San Joaquin Kangaroo Rat,San Joaquin Valley Kangaroo Rat|Fresno Kangaroo Rat|Short-nosed Kangaroo Rat|Tipton Kangaroo Rat,,,,,,,,,,,
Dipodomys,ordii,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_ordii|montanus|chapmani|longipes|palmeri|richardsoni|columbianus|obscurus|utahensis|luteolus|monoensis|cupidineus|cleomophila|evexus|nexilis|marshalli|attenuatus|celeripes|cineraceus|fetosus|oklahomae|inaquosus|panguitchensis|priscus|terrosus|cinderensis|fremonti|pallidus|sanrafaeli|uintensis|extractus|fuscus|idoneus|medius|durranti|pullus,,Ord’s Kangaroo Rat,Five-toed Kangaroo Rat,,,,,,,,,,,
Dipodomys,ornatus,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_ornatus,,Plateau Kangaroo Rat,Ornate Kangaroo Rat,,,,,,,,,,,
Dipodomys,panamintinus,Dipodomys|Dipodops|Macrocolus|Perodipus,Perodipus_panamintinus|mohavensis|leucogenys|argusensis|caudatus,,Panamint Kangaroo Rat,Mojave Kangaroo Rat,,,,,,,,,,,
Dipodomys,phillipsii,Dipodomys|Dipodops|Macrocolus|Perodipus,phillipsii|perotensis|oaxacae,,Phillips’s Kangaroo Rat,Southern Banner-tailed Kangaroo Rat,,,,,,,,,,,
Dipodomys,simulans,Dipodomys|Dipodops|Macrocolus|Perodipus,cabezonae|Perodipus_streatori_simulans|peninsularis|latimaxilaris|martirensis|australis|eremoecus|paralius|pedionomus|plectilis|antiquarius,,Dulzura Kangaroo Rat,Cabezon Kangaroo Rat|San Borja Kangaroo Rat|Santa Catarina Kangaroo Rat,,,,,,,,,,,
Dipodomys,spectabilis,Dipodomys|Dipodops|Macrocolus|Perodipus,Dipodomys_spectabilis|cratodon|baileyi|zygomaticus|clarencei|perblandus|intermedius,,Banner-tailed Kangaroo Rat,Bannertail Kangaroo Rat,,,,,,,,,,,
Dipodomys,stephensi,Dipodomys|Dipodops|Macrocolus|Perodipus,Perodipus_stephensi|cascus,,Stephens’s Kangaroo Rat,Bonsall Relict Kangaroo Rat,,,,,,,,,,,
Dipodomys,venustus,Dipodomys|Dipodops|Macrocolus|Perodipus,Perodipus_venustus|elephantinus|sanctiluciae,,Narrow-faced Kangaroo Rat,Santa Cruz Kangaroo Rat|Big-eared Kangaroo Rat|Elephant-eared Kangaroo Rat,,,,,,,,,,,
Heteromys,desmarestianus,Heteromys|Liomys|Xylomys,desmarestianus|longicaudatus|goldmani|griseus|lepturus|repens|fuscatus|temporalis|crassirostris|panamensis|zonalis|psakastus|planifrons|subaffinis|chiriquensis|underwoodi|nigricaudatus,,Desmarest’s Spiny Pocket Mouse,,,,,,,,,,,,
Heteromys,gaumeri,Heteromys|Liomys|Xylomys,Heteromys_gaumeri,,Gaumer’s Spiny Pocket Mouse,,,,,,,,,,,,
Heteromys,goldmani,Heteromys|Liomys|Xylomys,Heteromys_goldmani,,Goldman’s Spiny Pocket Mouse,,,,,,,,,,,,
Heteromys,irroratus,Heteromys|Liomys|Xylomys,albolimbatus|irroratus|alleni|canus|minor|texensis|torridus|exiguus|jaliscensis|guerrerensis|pretiosus|pullus|acutus|yautepecus,,Mexican Spiny Pocket Mouse,Guerrero Spiny Pocket Mouse,,,,,,,,,,,
Heteromys,nelsoni,Heteromys|Liomys|Xylomys,Heteromys_(Xylomys)_nelsoni,,Nelson’s Spiny Pocket Mouse,,,,,,,,,,,,
Heteromys,pictus,Heteromys|Liomys|Xylomys,pictus|hispidus|annectens|isthmius|obscurus|orbitalis|phaeura|plantinarensis|rostratus|sonorana|veraecrucis|paralius|parviceps|escuinapae|pinetorum,,Painted Spiny Pocket Mouse,,,,,,,,,,,,
Heteromys,salvini,Heteromys|Liomys|Xylomys,nigrescens|salvini|crispus|heterothrix|setosus|vulcani|anthonyi|aterrimus,,Salvin’s Spiny Pocket Mouse,,,,,,,,,,,,
Heteromys,spectabilis,Heteromys|Liomys|Xylomys,Liomys_spectabilis,,Jaliscan Spiny Pocket Mouse,,,,,,,,,,,,
Microdipodops,megacephalus,Microdipodops,Microdipodops_megacephalus|californicus|oregonus|polionotus|albiventer|ambiguus|leucotis|medius|nasutus|nexus|paululus|sabulonis|atrirelictus,,Dark Kangaroo Mouse,Owyhee River Kangaroo Mouse,,,,,,,,,,,
Microdipodops,pallidus,Microdipodops,Microdipodops_pallidus|lucidus|dickeyi|ammophilus|purus|ruficollaris|restrictus,,Pallid Kangaroo Mouse,Pale Kangaroo Mouse|Soda Spring Valley Kangaroo Mouse,,,,,,,,,,,
Perognathus,alticola,Perognathus|Abromys|Cricetodipus|Otognosis,Perognathus_alticolis|inexpectatus,,White-eared Pocket Mouse,Tehachapi Pocket Mouse,,,,,,,,,,,
Perognathus,amplus,Perognathus|Abromys|Cricetodipus|Otognosis,Perognathus_amplus|pergracilis|rotundus|taylori|ammodytes|cineris|jacksoni,,Arizona Pocket Mouse,,,,,,,,,,,,
Perognathus,fasciatus,Perognathus|Abromys|Cricetodipus|Otognosis,Perognathus_fasciatus|infraluteus|callistus|litus|olivaceogriseus,,Olive-backed Pocket Mouse,,,,,,,,,,,,
Perognathus,flavescens,Perognathus|Abromys|Cricetodipus|Otognosis,apache|Perognathus_fasciatus_flavescens|copei|melanotis|perniger|caryi|cleomophila|gypsi|relictus|cockrumi,,Plains Pocket Mouse,Apache Pocket Mouse,,,,,,,,,,,
Perognathus,flavus,Perognathus|Abromys|Cricetodipus|Otognosis,Perognathus_flavus|bimaculatus|fuliginosus|mexicanus|piperi|hopiensis|sonoriensis|sanluisi|bunkeri|medius|pallescens|parviceps|goodpasteri|fuscus,,Silky Pocket Mouse,Baird’s Pocket Mouse,,,,,,,,,,,
Perognathus,inornatus,Perognathus|Abromys|Cricetodipus|Otognosis,Perognathus_inornatus|neglectus|psammophlius|sillimani,,San Joaquin Pocket Mouse,Salinas Pocket Mouse,,,,,,,,,,,
Perognathus,longimembris,Perognathus|Abromys|Cricetodipus|Otognosis,Otognosis_longimembris|nevadensis|panamintinus|bangsi|pacificus|arenicola|brevinasus|elibatus|pericalles|bombycinus|aestivus|venustus|arizonensis|cantwelli|arcus|kinoensis|pimensis|salinensis|tularensis|internationalis|virginis|gulosus,,Little Pocket Mouse,Los Angeles Little Pocket Mouse|Los Angeles Pocket Mouse,,,,,,,,,,,
Perognathus,merriami,Perognathus|Abromys|Cricetodipus|Otognosis,Perognathus_merriami|mearnsi|gilvus,,Merriam’s Pocket Mouse,,,,,,,,,,,,
Perognathus,mollipilosus,Perognathus|Abromys|Cricetodipus|Otognosis,Perognathus_mollipilosus|amoenus|olivaceus|magruderensis|xanthanotus|clarus|idahoensis|trumbullensis|plerus|bullatus,,Great Basin Pocket Mouse,,,,,,,,,,,,
Perognathus,parvus,Perognathus|Abromys|Cricetodipus|Otognosis,Cricetodipus_parvus|monticola|lordi|columbianus|laingi|yakimensis,,Columbia Plateau Pocket Mouse,,,,,,,,,,,,
Ammospermophilus,harrisii,Ammospermophilus,harrisii|saxicolus|kinoensis,,Harris’s Antelope Squirrel,,,,,,,,,,,,
Ammospermophilus,interpres,Ammospermophilus,Tamias_interpres,,Texas Antelope Squirrel,,,,,,,,,,,,
Ammospermophilus,leucurus,Ammospermophilus,Tamias_leucurus|cinamomeus|peninsulae|vinnulus|insularis|canfieldiae|extimus|tersus|pennipes|escalante|notom,,White-tailed Antelope Squirrel,,,,,,,,,,,,
Ammospermophilus,nelsoni,Ammospermophilus,Spermophilus_nelsoni|amplus,,Nelson’s Antelope Squirrel,,,,,,,,,,,,
Callospermophilus,lateralis,Callospermophilus,lateralis|castanurus|chrysodeirus|cinerascens|brevicauda|wortmani|bernardinus|trinitatus|trepidus|tescorum|arizonensis|caryi|certus|connectens|mitratus,,Common Golden-mantled Ground Squirrel,Green River Basin Golden-mantled Ground Squirrel,,,,,,,,,,,
Callospermophilus,madrensis,Callospermophilus,Callospermophilus_madrensis,,Sierra Madre Ground Squirrel,Sierra Madre Golden-mantled Ground Squirrel,,,,,,,,,,,
Callospermophilus,saturatus,Callospermophilus,Tamias_lateralis_saturatus,,Cascade Golden-mantled Ground Squirrel,,,,,,,,,,,,
Cynomys,gunnisoni,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,Spermophilus_gunnisoni|zuniensis,,Gunnison’s Prairie Dog,,,,,,,,,,,,
Cynomys,leucurus,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,Cynomys_leucurus,,White-tailed Prairie Dog,,,,,,,,,,,,
Cynomys,ludovicianus,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,ludovicianus|grisea|socialis|missouriensis|latrans|cinereus|arizonensis|pyrrotrichus,,Black-tailed Prairie Dog,Arizona Black-tailed Prairie Dog,,,,,,,,,,,
Cynomys,mexicanus,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,Cynomys_mexicanus,,Mexican Prairie Dog,Mexican Prairie Marmot,,,,,,,,,,,
Cynomys,parvidens,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,Cynomys_parvidens,,Utah Prairie Dog,,,,,,,,,,,,
Glaucomys,oregonensis,Glaucomys,Pteromys_oregonensis|californicus|fuligionsus|klamathensis|lascivus|stephensi|flaviventris,,Humboldt’s Flying Squirrel,Bachman’s Flying Squirrel|California Coast Flying Squirrel|Cascade Flying Squirrel|Klamath Flying Squirrel|Okanagan Flying Squirrel|Yellow-bellied Flying Squirrel,,,,,,,,,,,
Glaucomys,sabrinus,Glaucomys,hudsonius|sabrinus|canadensis|alpinus|bangsi|macrotis|olympicus|makkovikensis|yukonensis|zaphaeus|bullatus|canescens|columbiensis|latipes|griseifrons|lucifugus|fuscus|reductus|goodwini|gouldi|coloratus|murinauralis,,Northern Flying Squirrel,Carolina Flying Squirrel|Alaska Coast Flying Squirrel|Atnarko Flying Squirrel|Bangs Flying Squirrel|Broad-footed Flying Squirrel|Cascade Flying Squirrel|Hudson Bay Flying Squirrel|Labrador Flying Squirrel|Mearns’s Flying Squirrel|Okanagan Flying Squirrel|Richardson Flying Squirrel|Sierra Flying Squirrel|Yukon Flying Squirrel,,,,,,,,,,,
