genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Microtus,guatemalensis,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Microtus_guatemalensis,,Guatemalan Vole,,,,,,,,,,,,
Microtus,longicaudus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Arvicola_(Mynomes)_longicaudus|alticola|mordax|leucophaeus|angusticeps|macrurus|cautus|vellerosus|bernardinus|coronarius|sierrae|abditus|angustus|latus|littoralis|baileyi|halli|incanus,,Long-tailed Vole,Coronation Island Vole|San Bernardino Long-tailed Vole,,,,,,,,,,,
Microtus,mexicanus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,mexicanus|phaeus|fulviventer|madrensis|subsimus|fundatus|salvus|neveriae|ocotensis,,Mexican Vole,,,,,,,,,,,,
Microtus,miurus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Microtus_miurus|oreas|muriei|andersoni|cantator|paneaki,,Singing Vole,Alaska Haymouse|Alaska Vole|Toklat Vole,,,,,,,,,,,
Microtus,mogollonensis,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Arvicola_mogollonensis|guadalupensis|navaho|hualpaiensis,,Mogollon Vole,Hualpai Vole|Navajo Vole,,,,,,,,,,,
Microtus,montanus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Arvicola_montana|longirostris|nanus|arizonensis|canescens|dutcheri|nevadensis|rivularis|yosemite|caryi|fucosus|micropus|undosus|fusus|amosus|nexus|pratincolus|codiensis|zygomaticus,,Montane Vole,Pahranagat Valley Montane Vole,,,,,,,,,,,
Microtus,oaxacensis,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Microtus_oaxacensis,,Tarabundi Vole,Oaxacan Vole,,,,,,,,,,,
Microtus,ochrogaster,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,ochrogaster|austerus|haydenii|cinnamonea|minor|ludovicianus|ohionensis|taylori|similis,,Prairie Vole,,,,,,,,,,,,
Microtus,oregoni,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,oregoni|bairdii|serpens|morosus|adocetus|cantwelli,,Creeping Vole,Oregon Meadow Mouse|Oregon Vole,,,,,,,,,,,
Microtus,pennsylvanicus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,pennsylvanicus|pratensis|noveboracensis|palustris|riparius|alborufescens|hirsutus|fulva|nasuta|oneida|rufescens|dekayi|breweri|longipilis|rufidorsum|terraenovae|enixus|fontigenus|acadicus|nigrans|insularis|labradorius|nesophilus|shattucki|provectus|copelandi|magdalenensis,,Eastern Meadow Vole,Meadow Vole|Block Island Meadow Vole|Penobscot Meadow Vole|Beach Vole|Muskeget Vole,,,,,,,,,,,
